City,Automobile Mechanic - Gross (New York = 100),Automobile Mechanic - Gross (USD),"Automobile Mechanic - Gross, annual (New York = 100)","Automobile Mechanic - Net, annual (New York = 100)",Average annual (gross) - (USD),Average hourly (gross) - (USD),Average hourly (net) - (USD),Bus Driver - Gross (New York = 100),Bus Driver - Gross (USD),"Bus Driver - Gross, annual (New York = 100)","Bus Driver - Net, annual (New York = 100)",Call Center Agent - Gross (New York = 100),Call Center Agent - Gross (USD),"Call Center Agent - Gross, annual (New York = 100)","Call Center Agent - Net, annual (New York = 100)",Carpenter - Gross (New York = 100),Carpenter - Gross (USD),"Carpenter - Gross, annual (New York = 100)","Carpenter - Net, annual (New York = 100)",Construction Worker - Gross (New York = 100),Construction Worker - Gross (USD),"Construction Worker - Gross, annual (New York = 100)","Construction Worker - Net, annual (New York = 100)",Cook - Gross (New York = 100),Cook - Gross (USD),"Cook - Gross, annual (New York = 100)","Cook - Net, annual (New York = 100)",Department Manager - Gross (New York = 100),Department Manager - Gross (USD),"Department Manager - Gross, annual (New York = 100)","Department Manager - Net, annual (New York = 100)",General Practitioner - Gross (New York = 100),General Practitioner - Gross (USD),"General Practitioner - Gross, annual (New York = 100)","General Practitioner - Net, annual (New York = 100)",Industrial Technician - Gross (USD),"Industrial Technician - Gross, annual (New York = 100)","Industrial Technician - Net, annual (New York = 100)",Nurse - Gross (New York = 100),Nurse - Gross (USD),"Nurse - Gross, annual (New York = 100)","Nurse - Net, annual (New York = 100)",Practice Assistant - Gross (New York = 100),Practice Assistant - Gross (USD),"Practice Assistant - Gross, annual (New York = 100)","Practice Assistant - Net, annual (New York = 100)",Primary School Teacher - Gross (New York = 100),Primary School Teacher - Gross (USD),"Primary School Teacher - Gross, annual (New York = 100)","Primary School Teacher - Net, annual (New York = 100)",Product Manager - Gross (New York = 100),Product Manager - Gross (USD),"Product Manager - Gross, annual (New York = 100)","Product Manager - Net, annual (New York = 100)",Sales Assistant - Gross (New York = 100),Sales Assistant - Gross (USD),"Sales Assistant - Gross, annual (New York = 100)","Sales Assistant - Net, annual (New York = 100)",Secretary - Gross (New York = 100),Secretary - Gross (USD),"Secretary - Gross, annual (New York = 100)","Secretary - Net, annual (New York = 100)","Taxes and Social Security (average) - Social security contribution, employee (%)",Taxes and Social Security (average) - Tax (%),Working hours and vacation days (average) - Vacation per year (NY = 100),Working hours and vacation days (average) - Vacation per year (days),Working hours and vacation days (average) - Work per year (NY = 100),Working hours and vacation days (average) - Work per year (hours),Exchange Rates - Currency Unit,Exchange Rates - LC/USD,Exchange Rates - Local Currency (LC),"Domestic Purchasing Power - Gross, hourly (New York = 100)",Domestic Purchasing Power - Net (New York = 100),"Domestic Purchasing Power - Net, hourly (New York = 100)",Price Level - excl. rent (New York = 100),Price Level - incl. rent (New York = 100),Wage Level (gross) - (New York = 100),Wage Level (net annual) - (New York = 100),Wage Level (net) - (New York = 100),"Working time required to buy… - Big Mac, net (NY = 100)","Working time required to buy… - Big Mac, net (minutes)",Working time required to buy… - Haircut Men (NY = 100),Working time required to buy… - Haircut Men (minutes),Working time required to buy… - Haircut Women (NY = 100),Working time required to buy… - Haircut Women (minutes),"Working time required to buy… - iPhone X 64GB, net (NY = 100)","Working time required to buy… - iPhone X 64GB, net (hours)",City Breaks - (New York = 100),City Breaks - (USD),Food - (New York = 100),Food - (USD),Home Electronics and Household Appliances - Home Electronics (New York = 100),Home Electronics and Household Appliances - Home Electronics (USD),Home Electronics and Household Appliances - Household Appliances (New York = 100),Home Electronics and Household Appliances - Household Appliances (USD),Housing - (New York = 100),Housing - (USD),Public Transport - (New York = 100),"Public Transport - Bus, Tram or Metro (USD)",Public Transport - Public Transportation (USD),Public Transport - Taxi (USD),Public Transport - Train (USD),"Restaurants and Hotels - Hotel, first-class international (USD)","Restaurants and Hotels - Hotel, good mid-range (USD)",Restaurants and Hotels - Restaurant (USD),Services - (New York = 100),Services - (USD),Total expenditure on goods and services - (New York = 100),Total expenditure on goods and services - (USD),Women's and Men's Clothing - Men's clothing (New York = 100),Women's and Men's Clothing - Men's clothing (USD),Women's and Men's Clothing - Women's clothing (New York = 100),Women's and Men's Clothing - Women's clothing (USD),Longitude,Latitude,City Code,Country,Region,Continent,Development
Istanbul,13.24,5972.73,13.2,12.6,9540.52,4.11,2.8,18.11,7848.76,18.1,17.1,16.06,4887.83,16.1,15.3,11.83,5028.74,11.8,11.4,17.91,5565.39,17.9,17,38.32,26157.72,38.3,34.9,41.04,47741.12,41,39.9,12.63,26889.68,12.6,13.6,7881.39,15.9,15.1,11.32,9556.57,11.3,11.3,24.43,10038.14,24.4,22.7,13,9467.45,13,12.8,11.09,12688.45,11.1,11.3,16.54,6386.14,16.5,15.7,16.77,7223.95,16.8,15.9,14.7,16.2,156.1,23.7,113.3,2319,1,0.2614,TRY,27,31,26.4,52.7,45.3,14.3,16.3,13.9,437.7,66.5,176.3,225.72,176.27,378.54,1049.5,567.7,33.7,362.81,63.2,302.74,113.6,4395.95,97.9,696.4210739,15.7,600.15,30.4,0.99,18.83,4.77,13.07,156.65,69.21,43.13,42.6,572.69,52.74,1937.29,48.7,482.14,68.2,438.49,28.967,41.017,IST,Turkey,Europe,Western Europe,Developing
Bratislava,27.33,12335,27.3,26.7,12950.39,6.21,4.55,28.97,12555.66,29,28.3,51.85,15779.21,51.8,51,21.61,9189.58,21.6,20.5,47.99,14915.07,48,47.1,28.85,19694.88,28.9,30.1,31.03,36100.43,31,35.6,9.39,19982.7,9.4,11.6,16652.25,33.6,33.7,12.5,10551.48,12.5,12.8,24.85,10213.38,24.9,23.8,20.96,15268.38,21,21.7,21.89,25049.37,21.9,24.8,22.53,8696.18,22.5,21.2,27.87,12006.07,27.9,27.1,9.8,17.1,173.2,26.3,101.9,2085,1,1.2335,EUR,32.1,36,33.7,67.1,57.8,21.5,24.1,22.6,316.16,48,149.3,191.19,197,423.07,605.5,327.5,49.7,534.88,57.5,275.44,123,4759.9,176.1,1252.79194,20.9,801.78,33.8,1.2,20.92,7.88,11.84,201.06,95.6,74.44,57.55,773.68,67.08,2463.73,44.2,437.58,57.2,367.76,17.117,48.15,BTS,Slovak Republic,Europe,Eastern Europe,Transition
Milan,59.32,26769.69,59.3,53.3,35935.31,18.8,11.97,76.43,33126.33,76.4,68,72.82,22161.88,72.8,65.5,57.54,24466.47,57.5,51.8,85.42,26548.48,85.4,76.1,96.94,66170.42,96.9,82.5,68.34,79505.93,68.3,61.2,43.86,93375.95,43.9,42.4,39699.51,80.2,71.1,49.04,41404.48,49,45.5,126.29,51899.51,126.3,106.3,42.11,30670.57,42.1,39.4,52.92,60564.85,52.9,48.9,75.89,29299.74,75.9,67.7,76.24,32842.62,76.2,67.8,9.8,25.8,159.2,24.2,93.4,1912,1,1.2335,EUR,68.3,60.5,62.4,95.4,86.1,65.2,57.8,59.5,171,26,108.6,139.08,116.1,249.32,201.4,109,62.3,669.98,76.6,366.87,114.6,4432.09,191,1358.36001,49.1,1882.94,99.3,1.85,61.51,20.49,39.17,217.1,143.39,95.6,88.15,1185.06,95.43,3505.07,141.1,1396.48,192.1,1234.93,9.167,45.45,MIL,Italy,Europe,Western Europe,Industrialized
St Petersburg,18.71,8443.2,18.7,21.9,7510.1,4.18,3.63,24.35,10554,24.4,28.5,31.21,9498.6,31.2,36.3,17.37,7387.8,17.4,20.3,16.98,5277,17,19.7,13.68,9341.17,13.7,16.7,32.79,38152.71,32.8,43,3.37,7176.72,3.4,4.9,11926.02,24.1,28.4,6,5065.92,6,7.5,15.41,6332.4,15.4,18,8.69,6332.4,8.7,10.7,14.75,16886.4,14.8,19.3,12.87,4967.28,12.9,15,14.7,6332.4,14.7,17.2,0,13,212.3,32.3,87.9,1798,1,0.0176,RUB,23.1,27.3,28.9,62.6,54.9,14.5,17.1,18.1,248.62,37.7,215.4,275.84,196.05,421.02,706.6,382.3,62.5,672.55,57.7,276.5,125.6,4860.64,126,896.5754925,24.6,942.66,23.9,0.77,14.81,2.34,11.7,349.51,64.65,81.79,48.72,655.04,62.56,2297.89,94.4,934.81,151.9,976.36,30.308611,59.9375,LED,Russia,Europe,Eastern Europe,Transition
Kiev,11.74,5297.35,11.7,12.7,4385.24,2.32,1.87,8.7,3769.35,8.7,9.4,12.42,3780.3,12.4,13.4,19.96,8487,20,21.6,10.48,3257.07,10.5,11.3,4.54,3101.6,4.5,5.1,9.7,11285.2,9.7,11.8,3.12,6642,3.1,4.2,9639.44,19.5,21.3,3.09,2606.82,3.1,3.6,10.77,4428,10.8,11.7,2.19,1593.63,2.2,2.5,2.62,3004.03,2.6,3.2,13.63,5263.47,13.6,14.7,8.39,3615.22,8.4,9.1,0,19.5,157.9,24,92.3,1888,1,0.0369,UAH,18.3,20.2,21.1,44,39.5,8.1,8.9,9.3,382.15,58,289,370.03,337.72,725.26,1309.9,708.6,43,462.53,32.4,155.08,100.1,3872.3,137.4,977.5266638,21.3,815.53,18.3,0.18,11.34,2.72,8.44,286.46,60.42,38.97,31.35,421.43,44.04,1617.59,57.5,569.31,85.4,549.06,30.517,50.433,IEV,Ukraine,Europe,Eastern Europe,Transition
Santiago de Chile,24.22,10932.2,24.2,26.1,18285.82,8.51,6.97,28.04,12151.38,28,30.1,40.48,12318.22,40.4,43.2,25.33,10773,25.3,27.2,37.72,11723.29,37.7,40.3,40.99,27981.81,40.9,56.1,16.94,19701.89,16.9,20.2,25.25,53761.26,25.2,34.1,14105.79,28.5,30.9,38.3,32337.26,38.2,42.8,33.79,13885.2,33.7,36.3,24.52,17860.49,24.5,27.5,52.96,60614.75,52.9,65.3,22.13,8544.01,22.1,23.7,26.44,11388.28,26.4,28.4,17.9,0.9,120.2,18.3,105.1,2150,100,0.1663,CLP,45.6,57,53.6,64.7,55.5,29.5,36.9,34.7,236.79,36,100.6,128.78,99.94,214.63,418.8,226.6,48.2,518.76,60.5,289.78,117.3,4538.39,110.7,787.4551781,18.9,724.57,29,1.18,17.98,7.32,9.48,277.37,83.54,51.54,63.58,854.79,64.73,2377.4,47.2,466.75,81.7,525.4,-70.75,-33.467,SCL,Chile,Americas,South America,Developing
Munich,94.41,42603.45,94.4,91,45553.58,24.89,17.49,84.27,36523.66,84.3,81.9,104.74,31876.38,104.7,101.9,94.53,40199.76,94.5,91.3,84.05,26123.89,84.1,83,65.88,44968.48,65.9,66,101.1,117621.08,101.1,102,68.13,145059.6,68.1,73.5,52255.45,105.6,101.4,52.89,44657.31,52.9,54,90.04,37005,90,87.3,83.15,60564.21,83.2,83.3,85.93,98339.83,85.9,89.4,78.29,30224.59,78.3,76.9,94.04,40513.62,94,90.8,18.8,10.2,187.9,28.6,89.4,1830,1,1.2335,EUR,104,99.1,104.8,83,75.9,86.3,82.3,87,107.04,16.3,104.9,134.38,107.41,230.66,149.8,81,49.7,534.66,84.5,404.75,134.6,5207.5,145.9,1038.1136,47.9,1837.59,136.9,3.58,84.81,15.85,65.38,186.57,105.66,61.06,77,1035.12,82.98,3048.05,69.1,684.12,107.7,692.42,11.566667,48.133333,MUC,Germany,Europe,Western Europe,Industrialized
Jakarta,6.09,2750.21,5.8,7.1,5177.04,2.27,2,15.85,6868.17,15.1,17.7,9.42,2867.87,9,10.9,9.34,3970.89,8.9,10.9,8.75,2720.8,8.3,10.2,8.4,5735.73,8,9.9,17.95,20883.94,17.1,21.5,2.9,6176.94,2.8,4,2985.52,5.7,7.1,5.01,4228.26,4.8,6.2,12.88,5294.52,12.3,14.6,10.78,7853.54,10.3,12.5,10.92,12500.95,10.4,13.4,7.9,3051.7,7.5,9.2,9.81,4228.26,9.3,11.4,3.8,7.2,78.9,12,111.5,2282,1000,0.0735,IDR,13.8,19.2,17.5,56.8,50.8,7.9,10.9,9.9,545.97,82.9,58.3,74.6,118.37,254.21,1204.5,651.6,63.9,687.29,60,287.49,100.2,3878.17,104,739.4322955,27.2,1042.83,18.5,0.26,11.44,1.73,9.45,231.51,42.1,17.28,41.43,556.98,56.84,2087.77,39.5,390.98,48.9,314.34,106.8,-6.267,JKT,Indonesia,Asia,East Asia,Developing
Athens,37.58,16960.44,37.6,33.2,18125.32,8.66,5.65,45.89,19890.2,45.9,40.5,35.31,10745.86,35.3,30.9,29.01,12335,29,25.6,34.55,10737.57,34.5,30.2,38.03,25960.86,38,35,39.48,45926.49,39.5,37.6,17.38,37005,17.4,18.6,25854.59,52.2,46.4,28.8,24314.63,28.8,27,30.01,12335,30,26.4,40.84,29747.91,40.8,37.7,29.35,33592.32,29.4,28.6,29,11196.07,29,25.5,26.36,11357.2,26.4,23.2,16,18.8,148.7,22.6,102.3,2092,1,1.2335,EUR,41.3,40.7,38.6,72.7,64,30,29.6,28.1,289.17,43.9,104.9,134.33,115.95,249.01,484.1,261.9,56.4,606.13,64.4,308.38,127.9,4946.64,173.1,1231.063838,30.1,1152.29,73.4,1.73,45.45,7.89,35.83,278.25,82.18,78.02,59.54,800.43,72.68,2669.73,58.9,583.49,72.9,468.98,23.717,37.967,ATH,Greece,Europe,Western Europe,Industrialized
Lisbon,32.74,14774.59,32.7,32.4,17688.4,9.26,6.52,46.37,20098.42,46.4,44.3,37.89,11532.12,37.9,37.9,24.37,10361.4,24.4,24.8,35.6,11064.77,35.6,35.8,36.28,24765.94,36.3,35.4,26.73,31097.9,26.7,27.3,13.79,29357.3,13.8,15.7,15490.02,31.3,31,23.47,19816.04,23.5,23.8,54.63,22449.7,54.6,51.6,43.48,31669.15,43.5,41.5,35.54,40678.09,35.5,34.9,29.62,11433.72,29.6,29.8,32.2,13872.76,32.2,32,11,17.5,146.9,22.3,93.4,1911,1,1.2335,EUR,45.8,44.5,46.3,70,62.4,32.1,31.2,32.4,239.36,36.3,141.9,181.71,129.43,277.95,412.5,223.2,44,472.98,63.3,303.08,138.3,5351.09,174.8,1243.408089,32.2,1233.5,61,1.91,37.76,10.1,25.75,247.63,126.68,43.17,60.59,814.54,70.01,2571.33,55,544.86,78.4,504.21,-9.15,38.733,LIS,Portugal,Europe,Western Europe,Industrialized
Manama,80.84,36483.47,80.8,101.3,29343.55,14.45,13.44,41.74,18091.41,41.7,52.3,43,13086.65,43,53.4,41.17,17507.82,41.2,51.5,33.57,10433.95,33.6,41.7,101.67,69401.71,101.7,132.7,74.49,86654.87,74.5,104.5,51.95,110617.59,52,80.4,40144.19,81.1,102.3,43.5,36723.98,43.5,57.8,46.47,19099.44,46.5,58.1,47.01,34237.51,47,61.7,44.52,50956.6,44.5,62.4,50.89,19647.66,50.9,63.6,46.04,19833.35,46,57.6,7,0,210.5,32,99.3,2031,1,2.6527,BHD,70.8,100.6,94.4,70.8,63.1,50.1,71.2,66.8,101.41,15.4,46.2,59.22,55.15,118.44,149.6,80.9,65.8,707.88,80.9,387.35,94.5,3655.47,97.7,694.6559172,32.3,1237.93,12.1,0.8,7.5,6.7,,332.25,133.3,77.59,56.59,760.78,70.78,2599.66,57.4,568.24,78.8,506.53,50.583,26.217,BAH,Bahrain,Asia,Middle East,Developing
Zagreb,29.8,13448.73,29.8,23,13855.38,7.3,4.19,37.18,16113.04,37.2,28.7,34.01,10349.71,34,26,27.14,11539.31,27.1,20.9,37.69,11712.89,37.7,28.9,33,22526.53,33,26.6,33.86,39393,33.9,29.3,11.45,24372.03,11.4,10.9,13786.75,27.9,21.7,16.16,13641.96,16.2,13.2,31.71,13030.46,31.7,24.4,22.62,16476.36,22.6,18.3,19.7,22544.54,19.7,17,28.09,10844.96,28.1,21.6,28.41,12240.47,28.4,21.9,20,22.7,160.1,24.3,92.8,1898,1,0.1659,HRK,34,26.9,28,74.5,63.7,25.3,20.1,20.8,305.39,46.4,125.3,160.5,117.09,251.45,674.6,364.9,47.8,514.01,57.1,273.5,141.9,5488.81,144.8,1029.604018,20.7,791.66,47.3,1.49,29.3,6.64,21.17,184.36,97.96,69.89,76.3,1025.71,74.47,2735.31,85.5,846.29,109.1,701.27,15.983333,45.816667,ZAG,Croatia,Europe,Eastern Europe,Transition
Auckland,77.92,35166.16,77.9,88.4,37166.33,19.36,15.77,75.96,32922.2,76,86.5,101.51,30894.38,101.5,114.9,79.94,33995.75,79.9,91,94.28,29300.76,94.3,107,43.8,29899.56,43.8,52.2,50.89,59208.67,50.9,59.9,47.06,100198,47.1,57.6,49245.17,99.5,108.1,64.13,54142.5,64.1,72.4,87.07,35785,87.1,98.3,66.54,48464.82,66.5,75.5,42.21,48309.75,42.2,51.1,63.74,24607.91,63.7,73.1,86.11,37097.12,86.1,96.7,0,17.9,131.6,20,93.8,1920,1,0.7157,NZD,75.1,84.1,87.8,89.3,78.9,67.1,75.1,78.4,87.53,13.3,99.4,127.3,76.71,164.74,127.9,69.2,68,731.3,85,407.28,112,4332.49,132.5,942.5661645,37.4,1432.41,124.7,1.61,77.24,11.93,63.7,346.4,176.6,78.91,78.14,1050.54,89.32,3280.69,73,723.04,119.5,768.38,174.75,-36.85,AKL,New Zealand,Oceania,Oceania,Industrialized
Luxembourg,103.37,46650.97,103.4,109.5,58077.56,32.1,22.31,228.98,99241.16,229,198.3,123.62,37621.75,123.6,134.4,69.57,29583.13,69.6,78.2,112.98,35113.63,113,123.9,69.81,47654.22,69.8,76.7,115.49,134354.79,115.5,104.4,97.53,207663.64,97.5,93.3,70477.26,142.4,137.5,122,103003.42,122,111.1,100.85,41445.6,100.8,108.7,150.04,109275.73,150,133,51.5,58940.74,51.5,58.1,89.65,34612.01,89.7,99.1,104.8,45146.1,104.8,111.4,12.2,14.5,197.4,30,88.4,1809,1,1.2335,EUR,125,117.3,124.6,89,84.2,111.3,104.4,110.9,86.3,13.1,82.2,105.32,86.89,186.59,119.3,64.5,69.4,746.26,84.9,406.57,130.3,5042.02,217.1,1544.184729,64.7,2479.85,175.7,2.47,108.82,20.51,85.84,317.93,181.32,94.36,75.97,1021.37,89.03,3270.05,72.4,716.86,117,752.3,6.117,49.6,LUX,Luxembourg,Europe,Western Europe,Industrialized
Zurich,156.01,70404.37,156,172,67882.3,37.44,30.92,198.98,86238.08,199,223.3,166.9,50793.29,166.9,188.1,150.07,63815.75,150.1,167,175.34,54494.91,175.3,196.4,99.41,67858.82,99.4,114.7,110.05,128025.75,110,132.7,55.89,118996.92,55.9,75,83271.56,168.2,190.8,88.21,74474.17,88.2,106.6,158.57,65169.34,158.6,175.9,134.15,97702.76,134.1,156,96.07,109951.81,96.1,117.8,139.96,54032.61,140,157.7,157.05,67657.52,157.1,173.7,7.2,10.1,176.9,26.9,88.6,1813,1,1.0598,CHF,111.1,122.5,131.7,116.8,104.3,129.8,143.1,153.8,87.99,13.4,92.3,118.24,85.22,183.02,70.6,38.2,86.5,929.97,131.4,629.32,118.2,4572.23,234.7,1669.489693,54.8,2100.7,133.7,2.65,82.83,24.38,55.8,390.54,265.48,106.51,122.21,1643,116,4260.59,91.9,909.24,114.6,736.74,8.517,47.367,ZRH,Switzerland,Europe,Western Europe,Industrialized
Shanghai,22.48,10143.21,22.5,24.8,11036.33,5.56,4.44,27.85,12072.24,27.9,30.1,18.15,5524.05,18.2,20.4,20.41,8680.65,20.4,23,24.36,7570.58,24.4,27.1,19.42,13257.72,19.4,21.7,31.51,36658.44,31.5,34.4,10.71,22798.54,10.7,13.5,9488.74,19.2,21.5,13.98,11805.68,14,16.1,32.64,13415.55,32.6,34.9,16.32,11889.86,16.3,18.5,17.74,20307.46,17.7,20.4,17.11,6606.87,17.1,19.2,20.22,8712.22,20.2,22.8,10.5,9,76.8,11.7,97.1,1987,1,0.1578,CNY,29.6,32.4,33.9,65.1,56.8,19.3,21.1,22.1,351.4,53.4,199.2,255.02,158.5,340.38,565.8,306.1,47.4,510,75.7,362.39,97.6,3776.56,108.6,772.42002,23.4,897,33.7,0.67,20.87,3.29,16.91,253.3,97.28,38.51,49.68,667.95,65.11,2391.61,43.8,433.36,67.1,431.18,121.467,31.167,SHA,China,Asia,East Asia,Developing
São Paulo,25.26,11397.69,25.3,30.2,16445.59,8.7,6.94,19.51,8455.22,19.5,23.7,20.76,6317.05,20.8,25.2,16.28,6923.4,16.3,19.9,21.13,6565.73,21.1,25.7,30.57,20867.72,30.6,34.9,54.18,63034.21,54.2,58.1,22.21,47286.17,22.2,26.9,25811.4,52.1,55.5,20.38,17208.71,20.4,24.5,94.83,38973.74,94.8,94.7,18.86,13734.51,18.9,23.1,42.33,48446.53,42.3,46.3,24.05,9285.63,24.1,29,30.54,13157.82,30.5,35.9,9,7.6,186.4,28.3,92.4,1890,1,0.3082,BRL,48.4,54.1,55.4,62.3,54.4,30.2,33.7,34.5,345.79,52.5,96.3,123.26,76.01,163.23,533.6,288.7,40,430.13,53,253.84,132.7,5134.07,99.1,704.765563,23.8,912.27,12,,7.41,,,,,,,,,,31.4,310.51,61.2,393.47,,,,,,,
Paris,52.05,23490.5,52.1,52.4,32879.42,19.78,13.96,79.43,34426.85,79.4,77.4,78.57,23912.63,78.6,78.3,63.23,26890.3,63.2,62.8,77.41,24057.91,77.4,77.1,58.74,40096.29,58.7,59.2,56.24,65428.54,56.2,55.7,47.51,101147,47.5,49,31559.3,63.8,63,50.56,42691.71,50.6,51.6,72.03,29604,72,70.9,47.96,34931.56,48,49,49.69,56874.63,49.7,50.4,83.65,32293.03,83.6,81.7,66.94,28837.59,66.9,66.1,21.5,7,197.4,30,81.3,1663,1,1.2335,EUR,75.1,65.8,76.1,91.2,88,68.6,60,69.4,151.94,23.1,123.2,157.77,109.89,235.99,189.4,102.4,82.6,888.03,89,426.43,116.2,4495.07,133.3,948.3148,74.4,2853.5,83.2,2.34,51.52,11.06,38.12,425.29,227.77,85.11,88.1,1184.4,91.24,3351.44,87.6,867.08,104.3,670.38,2.333,48.8,PAR,France,Europe,Western Europe,Industrialized
